"","D20_250004","D20_250006","D20_250007","D20_250009","D20_250010","D20_250012","D20_250027","D20_250029","D20_250033","D20_250034","D20_250037","D20_250039","D20_250040","D20_250041","D20_250044","S023","S035","S087","S117","S157","S166","S169","S178"
"Snx1",1563,446,513,75,924,236,1711,523,117,479,28,92,505,849,1290,616,304,172,713,59,1177,1814,453
"Ppib",431,2813,2381,1234,4016,1399,2715,3602,944,2520,40,1920,2484,2486,6377,3667,1092,237,5291,220,3834,8065,2054
"Csnk1g1",289,406,646,188,84,780,111,1338,177,341,1011,22,478,260,507,174,501,166,209,434,1092,418,313
"Trip4",1030,432,702,48,41,1100,273,2830,241,221,711,27,440,225,753,498,204,65,524,203,2102,740,553
"Rbpms2",3191,1196,2667,108,9,5819,4545,10133,3476,3527,340,3188,2373,1062,2209,2046,391,420,941,1653,5618,10529,4500
"Spg21",1907,1557,693,63,205,1559,1846,3825,1487,821,10,586,520,477,2028,986,272,175,874,259,2259,6309,1844
"Parp16",137,90,214,10,4,21,83,73,142,454,13,60,191,120,110,180,0,21,114,35,333,321,104
"Dpp8",665,258,751,73,271,1068,49,1371,165,46,38,134,510,497,621,333,264,125,408,346,336,1009,169
"Igdcc3",11,3,1,3,0,0,0,0,0,0,8,2,5,18,0,154,0,0,0,0,0,0,0
"Dis3l",90,635,1938,122,206,589,374,6479,616,222,754,548,1227,401,1522,726,573,95,992,413,2649,1949,767
"Tipin",1848,426,876,84,703,196,164,316,136,1411,6,322,860,599,1648,724,311,40,1359,97,1091,769,353
"Snapc5",174,40,128,13,80,116,75,331,64,174,1,112,108,149,107,129,31,1,149,1,477,274,79
"Rpl4",824,4003,9323,15089,8632,3726,6872,25658,2697,18066,2001,2635,11122,10426,19961,12264,4936,1787,16494,1160,25109,32763,3290
"Zwilch",537,70,431,12,18,31,159,591,215,850,251,42,380,265,174,133,176,53,140,82,745,930,134
"Lctl",83,7,39,3,5,10,4,29,43,140,24,12,28,37,19,22,18,13,1,18,72,124,0
"Smad3",1419,4540,2736,1264,3109,1008,18077,20796,2360,1741,5012,1747,4733,1627,988,4844,1924,1212,3221,6890,3675,2640,1425
"2300009A05Rik",155,104,163,22,524,94,215,438,27,80,6,156,124,70,375,156,103,32,296,54,79,547,119
"Pias1",3215,245,837,39,75,1108,41,2204,420,269,693,150,644,363,675,824,162,111,641,439,1978,554,97
"U2surp",7274,203,819,84,170,42,951,2860,820,1468,1011,406,937,558,1224,693,768,276,624,686,2822,1247,473
"Atr",386,47,283,30,48,94,124,1543,125,1409,469,237,485,60,135,142,272,105,16,553,416,229,161
"Xrn1",745,306,159,34,136,160,806,71,114,1047,429,25,352,203,469,287,198,107,168,244,1159,0,186
"Tfdp2",2728,634,507,706,1426,727,2063,2022,472,331,1307,840,63,390,413,1486,443,404,724,1069,1259,1636,895
"Atp1b3",1971,1226,2631,174,961,854,1341,847,1043,2964,13,2319,1734,765,3405,2148,541,324,1839,1360,1717,2805,1051
"Rasa2",769,494,1212,29,21,523,111,369,408,1872,124,240,722,362,1171,207,431,104,443,197,736,1644,753
"Ube2cbp",429,61,146,4,21,112,106,1137,27,1032,12,93,57,56,119,130,22,33,51,57,390,985,141
"Rwdd2a",72,14,25,3,0,243,469,803,247,321,1,117,50,37,66,33,16,12,6,23,513,1093,366
"Me1",869,265,2834,83,443,38,99,468,65,341,408,25,1176,1116,2257,1202,295,195,975,242,466,489,46
"Tbx18",5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,0,0,0,0,0
"Nt5e",3,0,3,0,0,1,0,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0,0
"Snx14",246,213,327,49,289,3,272,873,43,612,67,47,180,121,348,191,114,72,235,53,361,944,97
"Syncrip",563,168,440,92,516,162,218,14,99,1111,339,84,553,185,924,254,349,88,484,291,655,55,255
"Zfp949",19,4,14,4,33,110,36,16,7,5,7,6,7,15,21,0,12,9,0,0,82,137,0
"Crtap",950,1918,1400,388,3611,1589,1908,4960,888,39,298,1340,1878,1252,3329,3359,476,632,2058,1402,1244,2245,1627
"Cmtm6",3389,347,1103,114,294,119,675,684,4,111,168,112,354,470,1105,947,195,151,862,44,555,700,108
"Dync1li1",49,871,1443,149,905,751,615,2089,545,425,110,134,945,1123,2218,818,476,143,1099,310,1515,2184,820
