"","D20_250004","D20_250006","D20_250007","D20_250009","D20_250010","D20_250012","D20_250027","D20_250029","D20_250033","D20_250034","D20_250037","D20_250039","D20_250040","D20_250041","D20_250044","S023","S035","S087","S117","S157","S166","S169","S178"
"Gm36380",0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,2,0,0,0,0,0,0
"Gm45513",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45516",0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,0,0,0,0,0,0
"Gm7419",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930518J21Rik",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45410",17,4,10,30,0,1,0,3,0,0,2,3,10,3,6,19,0,2,24,0,4,0,0
"Gm45368",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45420",1,2,3,0,1,1,2,1,2,2,0,3,5,0,3,1,0,0,1,0,0,5,0
"Gm45625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm8423",4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0
"Gm45311",0,4,2,0,0,32,10,0,0,0,0,3,3,1,0,0,0,0,4,0,10,15,3
"Gm45250",0,1,2,3,0,0,48,0,0,0,1,14,1,5,3,0,0,0,4,0,0,2,0
"Gm2767",0,0,0,1,0,0,0,0,1,0,0,3,0,2,0,0,11,0,0,0,3,1,0
"Gm45668",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Gm31152",0,0,0,0,0,0,0,0,0,0,9,3,6,0,8,2,0,0,0,0,0,0,0
"Gm39164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm8110",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olfr1345-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm40460",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45293",68,31,37,11,0,0,22,66,18,0,19,7,58,24,65,0,0,3,0,0,1,0,4
"Gm45378",0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Gm17994",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45574",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Gm38572",12,1,8,1,0,65,27,144,29,93,0,16,9,9,3,0,0,8,0,0,0,26,0
"Gm45275",0,0,0,0,0,0,0,31,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Nudc-ps1",434,75,71,11,24,55,35,170,43,166,1,219,130,84,130,119,49,10,150,7,140,287,100
"Gm19935",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45861",7,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0
"Gm19921",24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015I17Rik",0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"4933400L20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3433",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0
"Gm45584",0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0
"Vmn2r-ps35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600027J07Rik",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45424",70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45751",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smim36",66,45,32,10,7,49,0,71,16,156,5,40,22,11,47,51,0,1,63,5,27,278,28
"Gm45572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm18122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45657",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Gm4157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm18602",0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"Gm10252",3213,123,316,1169,637,376,564,651,171,2720,185,272,278,723,1600,1087,375,102,1501,54,1403,3074,506
"Gm32050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm33543",0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Gm45686",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Gm7514",25,18,20,1,5,4,6,49,4,23,0,4,21,3,51,11,7,5,13,0,21,62,9
"Gm35453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A030001D20Rik",0,40,49,9,0,0,0,312,0,0,11,22,30,31,36,0,0,0,10,0,130,127,21
"A730009L09Rik",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Gm45566",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45380",21,7,11,6,1,6,3,10,0,2,2,22,4,5,5,15,0,1,7,1,9,12,1
"Gm8291",2,0,1,0,0,0,0,3,0,2,0,2,1,0,1,8,3,0,0,0,0,2,0
"Gm45554",8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Gm45576",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm38947",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Gm45885",0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"Gm34853",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45518",2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,23,0,0,0,0,0,0
"Gm45349",6,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Gm5749",3,0,0,3,0,2,0,5,0,4,0,0,3,3,0,3,0,0,2,0,0,6,0
"Gm9619",2,0,4,4,1,2,2,3,0,1,0,3,3,2,5,0,0,0,1,0,3,2,0
"Gm8096",0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,6,1
"Gm42303",0,4,29,1,17,9,46,26,1,0,12,14,15,30,42,10,14,5,4,1,59,37,1
"Gm31172",0,0,1,0,0,0,1,0,4,0,1,1,1,0,0,1,0,0,0,0,0,0,0
"Gm45323",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Gm45688",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45363",34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,44,0,0,0,0,0,0
"Gm45242",84,18,9,5,26,0,17,39,2,18,1,10,9,20,33,17,12,3,33,17,1,34,6
"Gm6909",5,1,0,1,0,0,0,0,0,0,0,1,3,1,0,4,0,0,0,0,2,0,0
"Gm45332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"Gm34370",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Gm29895",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Gm45580",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm19093",0,0,0,0,0,0,20,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Gm42031",4,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0
"Gm45478",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Gm30329",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45579",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45869",0,0,0,0,0,0,0,60,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Gm7269",9,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0
"Gm45676",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm36445",19,68,85,29,7,4,29,243,9,3,25,9,59,56,54,9,42,7,55,10,44,93,45
"Gm18991",19,5,15,0,0,0,0,0,0,0,6,18,0,2,1,5,21,0,2,0,0,0,0
"Gm4903",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Gm36737",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45540",67,8,23,5,0,0,0,0,0,0,18,42,15,8,13,0,31,9,0,5,1,0,0
"Gm45616",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45238",6,2,4,1,0,7,0,0,0,0,5,6,6,1,4,2,3,0,3,0,1,0,0
"Gm45416",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0
"Gm5740",1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Gm7203",57,7,4,0,0,0,5,1,3,0,2,5,26,4,2,19,0,0,0,0,33,0,0
"Gm45553",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Rnf223",14,0,0,0,0,0,0,0,0,0,13,2,7,8,0,0,0,0,7,0,0,0,0
"Gm45534",0,1,2,4,0,7,0,0,0,0,0,6,7,9,18,0,0,0,0,0,0,0,0
"4930470O06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Gm45454",0,2,4,0,2,0,0,2,0,1,0,2,5,0,2,0,0,0,4,0,3,7,0
"Gm9908",0,0,11,0,0,0,0,0,0,0,0,0,1,0,5,6,0,2,1,0,2,0,0
"4933421D24Rik",65,0,0,0,0,0,0,1,0,0,0,13,3,1,1,0,0,0,2,0,0,0,0
"Gm45457",1,2,11,1,0,4,3,13,10,0,32,29,2,6,17,8,71,8,0,0,0,0,0
"Gm33175",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45481",0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,10,0,0
"Gm6203",0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
"Gm19248",15,0,2,4,0,0,0,0,1,0,3,1,1,1,7,0,4,1,0,0,3,0,0
"Gm31727",0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AW046200",29,7,15,2,7,1,11,12,1,0,1,5,3,5,6,5,5,0,9,1,11,0,0
"Gm45870",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm9689",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Gm17999",0,5,2,1,0,0,0,0,0,3,0,1,0,1,8,0,0,0,0,0,0,0,0
"Zbed5-ps",0,5,15,0,0,0,35,44,0,51,7,14,10,24,11,0,28,0,6,17,74,0,0
"Gm32390",0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,0,0,0,0,0,0,0,0
"Gm45757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4933406B17Rik",0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0
"Gm45812",22,1,20,0,5,0,5,17,7,5,28,1,24,19,28,14,9,3,12,12,9,14,7
"Gm2059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0
"Cmtm1",0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,4,0,0
"Or8c14-ps1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Gm45907",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45820",5,0,1,1,0,4,0,9,0,0,5,1,3,1,2,0,0,0,0,0,1,0,0
"Rps7-ps1",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm3635",31,6,0,0,3,1,19,31,3,23,0,4,8,9,16,10,0,0,11,0,4,21,31
"Gm45876",2,0,0,0,0,0,41,0,0,112,0,0,0,1,0,0,0,0,0,0,0,0,0
"Gm45756",0,3,4,4,5,0,0,16,2,4,0,0,6,3,0,0,1,0,1,0,3,14,2
"Mup22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45894",331,107,143,19,2,282,192,623,388,14,107,206,220,119,223,145,77,44,61,34,552,327,522
"Gm45790",20,0,0,0,0,0,4,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
"Gm45804",0,6,21,1,0,19,0,0,14,201,0,10,12,4,13,0,0,4,1,3,3,0,0
"Gm39197",0,4,2,0,5,1,0,4,0,0,0,1,0,0,0,0,2,0,0,0,2,4,0
"Gm10033",571,54,385,21,6,326,216,179,23,591,96,31,161,270,158,193,61,57,72,104,482,0,297
"Gm45747",0,0,0,0,0,0,67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Gm18646",36,4,0,5,3,4,1,50,0,0,8,0,4,4,22,2,10,0,7,1,25,10,0
"Gm31518",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Gm33242",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45780",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm7943",31,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Gm36247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm32352",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0
"Gm45911",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Gm45904",0,0,0,0,0,0,22,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0
"Gm45865",0,0,0,1,0,0,22,0,1,2,0,0,9,0,1,0,0,0,0,0,5,0,0
"Gm21769",9,2,3,1,0,2,4,12,0,4,1,1,2,6,0,1,3,0,3,1,7,0,6
"Gm31717",19,0,0,0,0,18,3,10,5,17,6,4,0,0,0,24,0,0,0,0,3,9,0
"Gm20786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Gm45860",5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"Gm35572",0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"Gm35998",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"1700061N14Rik",0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0
"Gm45832",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45781",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm39185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm10358",2,0,2,0,0,1,1,1,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0
"Gm45723",0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45823",0,3,10,1,0,0,4,0,0,7,15,0,9,9,6,7,4,0,6,17,1,0,0
"Gm45739",0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Gm29705",0,1,1,0,0,6,5,3,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0
"Gm45848",1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm31036",1,1,6,0,0,0,11,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0
"4930422C21Rik",0,0,0,0,0,0,0,38,0,204,0,0,0,0,0,0,13,0,0,0,0,3,0
"Gm3045",0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0
"Gm18000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm32842",0,0,0,0,1,0,0,0,0,36,0,1,2,0,1,9,0,0,0,0,0,0,0
"Gm45705",0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0
"Gm3889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45702",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45712",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45740",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"Gm45877",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,10,0,0
"Gm18035",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm31659",8,13,5,2,7,3,1,0,6,0,3,3,10,3,3,9,0,0,13,0,1,0,0
"Vmn2r-ps91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm31138",0,0,0,1,0,1,1,15,0,12,0,0,1,0,0,0,0,0,0,1,0,0,0
"Gm5358",0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Gm31774",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45909",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9230110F11Rik",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A630001O12Rik",0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Gm45873",0,0,0,0,0,0,0,0,24,0,4,1,0,9,16,0,0,0,0,0,0,0,0
"Gm32568",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45900",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Gm8804",2,0,0,0,0,0,0,1,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0
"Gm45830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45797",0,1,5,3,0,0,0,0,10,15,1,11,0,1,10,0,0,0,0,0,0,0,0
"Gm45842",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm8637",0,0,0,0,0,0,0,68,10,0,0,0,0,0,0,0,1,0,0,0,7,0,0
"8030455M16Rik",0,0,0,0,0,7,0,35,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Gm8940",0,0,6,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,15,0,0
"Gm45772",1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"Gm45908",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45699",7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0
"Gm45827",0,1,0,1,0,4,0,1,0,0,1,0,1,0,1,1,0,0,0,0,3,0,0
"Or8c1-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm7688",7,0,1,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Gm9644",4,2,3,2,3,2,0,0,3,0,2,0,0,4,3,0,3,0,3,0,0,1,0
"Gm45758",44,13,25,6,6,80,34,164,30,25,21,11,31,19,40,0,0,8,15,9,33,156,57
"Gm31224",0,0,0,0,0,0,6,7,0,0,6,0,0,4,0,2,0,0,1,0,12,0,1
"Or7d13-ps1",0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
"Or7g23",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Gm45776",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"Or7d12-ps1",0,0,0,2,0,0,13,21,3,7,0,0,1,1,1,0,0,0,0,0,0,0,0
"Gm45735",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C230057M02Rik",1,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,23,0,0,0,0,0,0
"Gm39228",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,6,0
"Gm45893",0,0,0,0,0,11,1,19,3,0,0,3,0,0,1,0,0,0,0,0,2,1,0
"Or8a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm7751",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm1943",8,6,5,0,4,17,2,5,0,3,0,5,6,4,6,5,3,0,1,0,4,20,6
"Gm45694",4,0,0,4,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"Gm35934",16,0,0,1,8,0,0,0,0,0,0,0,1,8,3,0,0,14,0,0,0,0,0
"Gm7760",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Gm35857",0,1,1,1,0,0,1,1,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0
"LOC665443",6,0,6,2,0,1,2,11,2,2,0,0,11,2,9,3,1,1,4,0,5,9,0
"Gm45708",56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olfr880-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45850",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Gm4316",24,0,0,0,0,0,0,0,0,0,0,0,5,0,4,2,0,0,0,0,0,0,0
"Gm33178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Gm45864",1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45743",0,1,2,1,0,0,58,0,3,0,1,5,3,17,2,0,0,7,1,4,2,6,0
"Gm10280",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm39139",0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0
"Umpk-ps",0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,1,0
"Gm2607",1,0,4,1,2,1,0,1,0,0,0,2,3,0,3,0,0,0,0,0,0,0,0
"Gm7730",4,7,10,9,7,1,1,9,4,2,0,0,4,7,15,15,0,1,14,0,7,10,3
"Gm45734",0,7,0,0,3,0,6,1,6,4,0,0,5,0,0,0,2,1,3,0,0,22,1
"Gm29773",37,16,19,3,30,49,14,7,35,3,4,19,36,17,38,21,18,8,21,7,48,72,13
"Gm45721",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45725",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Gm45856",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Gm45750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Gm45788",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Gm45742",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm35256",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0
"Or7e171-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45762",0,16,13,7,0,0,0,0,0,0,28,16,26,0,28,0,24,8,0,0,0,0,3
"Gm45779",10,7,20,4,0,89,44,10,0,150,20,30,8,15,30,8,21,6,1,44,64,86,6
"Gm26843",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
"Or7e172-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Gm45888",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Gm9204",0,1,1,0,1,0,0,1,0,0,0,4,1,0,1,0,0,0,1,0,1,0,0
"Gm45791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45697",0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,12,0,0,0,0,0,0
"Gm45814",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olfr865-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm45703",4,0,1,0,2,0,2,2,2,0,0,1,5,0,2,0,0,0,0,0,2,0,0
"Gm18860",218,57,67,3,8,54,181,85,14,11,5,37,39,60,52,60,23,15,45,46,84,131,23
"Gm45778",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Gm45730",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Olfr852-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm5485",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0
